data transfer
lb 0010000
lbu 0010001
sb 0011000
lw 0010010
sw 0011001
lsp 0010100
arithmetic
add 1000000
sub 1000001
addi 1010011
subi 1010100
mul 1000010
muh 1000011
mulu 1000100
muhu 1000101
div 1000110
divu 1000111
modu 1001000
and 1001001
or 1001010
not 1001011
xor 1001100
rr 1001101
srl 1001110
sra 1001111
sl 1010000
slt 1010001
sltu 1010010
slti 1010101
sltiu 1010110
control
j 0000001
jal 0000010
beq 0000011
bneq 0000100
bgez 0000101
bgtz 0000110
blez 0000111
bltz 0001000
break 0000000
floating point
addsp 0100000
subsp 0100001
mulsp 0100010
divsp 0100011
sltsp 0100100
witf 0100101
wfti 0100110
cache
pref 0110000
simd
move 1101010
copys 1101011
copyu 1101100
insertb 1101101
fillb 1101110
vaddb 1100000
vsubb 1100001
vmulb 1100010
vdivv 1100011
vmodb 1100100
ceqb 1100101
cleb 1100110
cleub 1100111
cltb 1101000
cltub 1101001
